fband,netst,stlo,stla,meanb,meanQ,ncount
0.5-1.0,LI.LTH,-119.417679,46.4617,0.08,58.905,2
0.5-1.0,TA.F03A,-123.559097,45.930599,0.01,471.239,4
0.5-1.0,TA.I05A,-121.267502,44.162601,0.31666666666666665,14.894,3
0.5-1.0,XN.A04,-122.916397,59.981098,0.01,471.239,1
0.5-1.0,XN.B01,-123.267601,58.898499,0.01,471.239,1
0.5-1.0,XN.B05,-125.766998,58.9305,0.05,94.248,1
0.5-1.0,XN.B12,-131.7444,59.932999,0.11,42.84,1
0.5-1.0,XN.C02,-122.713898,58.0965,0.02,235.619,1
0.5-1.0,XN.C08,-120.743301,56.264599,0.01,471.239,1
0.5-1.0,XN.C10,-119.8853,55.462101,0.12,39.27,1
0.5-1.0,XN.C12,-118.367401,55.1987,0.14,33.66,1
0.5-1.0,UW.ERW,-122.626007,48.453838,0.02,235.619,1
0.5-1.0,UW.SP2,-122.249229,47.55629,0.036666666666666674,307.30266666666665,9
0.5-1.0,TA.A04A,-122.707001,48.7197,0.09,52.36,1
0.5-1.0,TA.B04A,-123.503998,48.057499,0.01,471.239,2
0.5-1.0,TA.B05A,-122.096001,48.264099,0.01,471.239,2
0.5-1.0,TA.C05A,-121.689499,47.694698,0.27666666666666667,18.413666666666668,3
0.5-1.0,TA.D05A,-121.9888,47.188099,0.09,52.36,1
0.5-1.0,TA.E03A,-123.563202,46.545898,0.24666666666666667,19.154666666666667,3
0.5-1.0,TA.E05A,-121.760803,46.560501,0.16,29.452,1
0.5-1.0,TA.F05A,-121.458801,45.8839,0.24000000000000002,20.195999999999998,2
0.5-1.0,TA.H02A,-123.999702,44.676399,0.18,26.261,2
0.5-1.0,TA.H03A,-123.292297,44.676498,0.3,15.708,1
0.5-1.0,TA.H05A,-121.227097,44.647301,0.09,55.08,2
0.5-1.0,TA.J04A,-122.109299,43.240601,0.01,471.239,2
0.5-1.0,TA.K04A,-121.730698,42.6133,0.1,49.087500000000006,2
0.5-1.0,TA.L09A,-117.666702,42.019199,0.01,471.239,2
0.5-1.0,US.BMO,-117.306,44.852501,0.09,52.36,1
0.5-1.0,XC.OR011,-118.835999,44.3969,0.16,29.567999999999998,2
0.5-1.0,XU.E010,-121.802803,48.0979,0.01,471.239,2
0.5-1.0,XU.E020,-121.633102,47.845699,0.01,471.239,2
0.5-1.0,XU.N010,-124.137299,47.060101,0.255,18.544,2
0.5-1.0,XU.N015,-124.032898,47.1101,0.12,39.5445,2
0.5-1.0,XU.N025,-123.916397,47.1591,0.32,14.726,2
0.5-1.0,XU.N080,-122.551697,47.164501,0.030000000000000002,282.7435,2
0.5-1.0,XU.N090,-122.195297,47.185799,0.01,471.239,1
0.5-1.0,XU.N100,-121.788101,47.290901,0.33999999999999997,13.9685,2
0.5-1.0,XU.N110,-121.636497,47.145302,0.01,471.239,2
0.5-1.0,XU.N130,-121.047997,47.247002,0.14500000000000002,33.495000000000005,2
0.5-1.0,XU.S030,-123.296501,47.029099,0.01,471.239,2
0.5-1.0,XU.S040,-123.026604,47.0401,0.07,68.7225,2
0.5-1.0,XU.S050,-122.870697,47.006802,0.215,22.2185,2
0.5-1.0,XU.S055,-122.731102,46.839401,0.05,112.2,2
0.5-1.0,XU.S065,-122.3806,46.866798,0.085,57.221999999999994,2
0.5-1.0,XU.S070,-122.243896,46.980499,0.19,24.871000000000002,2
0.5-1.0,XU.S080,-121.988098,47.004002,0.04,117.81,2
0.5-1.0,XU.W110,-123.285004,46.200401,0.01,471.239,2
0.5-1.0,ZG.W02,-116.139999,44.931999,0.06,257.0395,2
