netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
CC.ASBU,-121.368401,43.820560,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.370,12.736,0.2,27.064070,4.0,10.0,0.01889915,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.ASBU,-121.368401,43.820560,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.535830,2.0,18.0,0.00721098,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.ASBU,-121.368401,43.820560,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.030,628.319,0.2,0.605456,1.0,15.0,0.00510211,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CIHL,-121.148621,43.750969,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,0.958094,4.0,9.0,0.00496393,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CIHL,-121.148621,43.750969,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,0.713455,2.0,8.0,0.00726081,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CIHL,-121.148621,43.750969,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.100,188.496,0.2,0.234077,1.0,12.0,0.00119759,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CPCO,-121.233192,43.722012,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.070,67.320,0.2,5.064502,4.0,12.0,0.05219591,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CPCO,-121.233192,43.722012,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.200,47.124,0.2,3.439856,2.0,16.0,0.00196876,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.CPCO,-121.233192,43.722012,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.120,157.080,0.2,0.467869,1.0,15.0,0.00080294,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.NORM,-121.252678,43.738960,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.160,29.452,0.2,3.289582,4.0,12.0,0.01188804,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.NORM,-121.252678,43.738960,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,1.590674,2.0,15.0,0.00457687,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.NORM,-121.252678,43.738960,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.100,188.496,0.2,0.788788,1.0,16.0,0.00170537,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.OBSR,-121.815331,46.899719,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.020,235.619,0.2,2.854521,4.0,16.0,0.03711210,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.OBSR,-121.815331,46.899719,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.120,78.540,0.2,1.261159,2.0,11.0,0.00496766,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.OBSR,-121.815331,46.899719,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.370,50.945,0.2,1.011348,1.0,11.0,0.00040383,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PANH,-121.642593,46.859032,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.090,52.360,0.2,1.148528,4.0,13.0,0.00956826,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PANH,-121.642593,46.859032,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.430,21.918,0.2,1.587405,2.0,9.0,0.00138308,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PANH,-121.642593,46.859032,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.990,19.040,0.2,4.127638,1.0,4.0,0.00523078,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PRLK,-121.962639,44.209751,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.220,21.420,0.2,7.578136,4.0,13.0,0.00696769,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PRLK,-121.962639,44.209751,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,0.512563,2.0,4.0,0.04483773,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.PRLK,-121.962639,44.209751,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.420304,1.0,4.0,0.03411088,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.SWNB,-121.355347,43.672741,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.250,18.850,0.2,2.634416,4.0,8.0,0.01481867,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.SWNB,-121.355347,43.672741,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.280,33.660,0.2,1.116062,2.0,11.0,0.00179844,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.SWNB,-121.355347,43.672741,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.260,72.498,0.2,3.586111,1.0,15.0,0.00210226,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.TMBU,-121.144508,43.601891,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.310,15.201,0.2,14.777998,4.0,10.0,0.02150700,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.TMBU,-121.144508,43.601891,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.100,94.248,0.2,0.638037,2.0,8.0,0.00655101,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.TMBU,-121.144508,43.601891,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.230,81.955,0.2,0.469996,1.0,7.0,0.00192099,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.VALT,-122.189247,46.214218,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,6.412070,4.0,8.0,0.27798388,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.VALT,-122.189247,46.214218,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.070,134.640,0.2,3.355851,2.0,15.0,0.02089818,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
CC.VALT,-122.189247,46.214218,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.190,99.208,0.2,1.823004,1.0,9.0,0.00987883,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.A04D,-122.706299,48.720100,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,2.473420,4.0,9.0,0.03333039,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.A04D,-122.706299,48.720100,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.220,42.840,0.2,1.061590,2.0,9.0,0.00415313,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.A04D,-122.706299,48.720100,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.470,40.105,0.2,1.373391,1.0,7.0,0.00186535,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.B05D,-122.096001,48.264099,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.141048,4.0,9.0,0.08974769,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.B05D,-122.096001,48.264099,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.130,72.498,0.2,0.445593,2.0,9.0,0.00422696,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.B05D,-122.096001,48.264099,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.710,26.549,0.2,2.386211,1.0,7.0,0.00096164,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.F05D,-121.459702,45.885201,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,1.974465,4.0,14.0,0.00413081,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.F05D,-121.459702,45.885201,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.050,188.496,0.2,1.200085,2.0,17.0,0.00840963,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.F05D,-121.459702,45.885201,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.320,58.905,0.2,1.892156,1.0,14.0,0.00029982,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
TA.H04D,-122.737701,44.523399,2012-01-01T00:00:00+0000 - 2013-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,4.604190,4.0,9.0,0.06591617,10.0,/home/kffeng/DATA_PNW/pnw_2012/STACK_acfs_BH_2012/
