netst,stlo,stla
CC.ASBU,-121.368401,43.820560
CC.CIHL,-121.148621,43.750969
CC.CLBH,-122.143494,42.907745
CC.CPCO,-121.233192,43.722012
CC.CRST,-121.698517,43.460640
CC.JRO,-122.218262,46.275269
CC.NORM,-121.252678,43.738960
CC.OBSR,-121.815331,46.899719
CC.PANH,-121.642593,46.859032
CC.PRLK,-121.962639,44.209751
CC.SHRK,-121.528770,45.464317
CC.STD,-122.224213,46.237492
CC.SWF2,-122.216766,46.178349
CC.SWNB,-121.355347,43.672741
CC.TCBU,-121.664383,44.240829
CC.TMBU,-121.144508,43.601891
CC.VALT,-122.189247,46.214218
CC.WIFE,-121.817459,44.059662
TA.A04D,-122.706299,48.720100
TA.B05D,-122.096001,48.264099
TA.C06D,-120.894302,47.922901
TA.D03D,-123.089401,47.534698
TA.D04E,-122.771500,47.178600
TA.E04D,-122.567299,46.556599
TA.F04D,-123.010803,46.082901
TA.F05D,-121.459702,45.885201
TA.G03D,-123.264099,45.211498
TA.G05D,-121.316704,45.242199
TA.H04D,-122.737701,44.523399
TA.H17A,-110.576202,44.395100
TA.I02D,-123.846901,44.105900
TA.I02E,-123.847298,44.107700
TA.I03D,-123.348701,43.697201
TA.I04A,-122.411301,43.794102
TA.I05D,-121.339500,44.338600
TA.J01E,-123.931396,43.161499
TA.J04D,-122.109299,43.240501
TA.J05D,-121.234703,43.284801
TA.K02D,-123.665398,42.695499
TA.K04D,-121.753502,42.624599
TA.L02E,-123.602898,42.158001
TA.L04D,-122.304604,42.217999
TA.M02C,-122.853798,41.391998
TA.M04C,-121.839302,41.782600
TA.N02D,-122.705002,40.973999
TA.O02D,-122.788399,40.176601
TA.O03E,-121.802101,40.294601
US.AHID,-111.100403,42.765400
US.BMO,-117.306000,44.852501
