netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path
UW.CCRK,-119.854797,46.558498,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.180,26.180,0.2,7.924819,4.0,10.0,0.04757025,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.CCRK,-119.854797,46.558498,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.240,39.270,0.2,3.263336,2.0,12.0,0.00331403,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.CCRK,-119.854797,46.558498,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.210,89.760,0.2,2.091929,1.0,18.0,0.00093072,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.DDRF,-119.059502,46.491100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.290,16.250,0.2,1.063541,4.0,8.0,0.00399780,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.DDRF,-119.059502,46.491100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.050,188.496,0.2,1.623684,2.0,12.0,0.02131811,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.DDRF,-119.059502,46.491100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.010,1884.956,0.2,0.518867,1.0,11.0,0.00962533,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.FISH,-123.559097,45.930599,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.010,471.239,0.2,3.604135,4.0,9.0,0.06735033,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.FISH,-123.559097,45.930599,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.050,188.496,0.2,0.961602,2.0,8.0,0.02005882,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.FISH,-123.559097,45.930599,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.510,36.960,0.2,3.599536,1.0,9.0,0.00202068,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PASS,-122.085197,48.998299,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.250,18.850,0.2,6.915586,4.0,8.0,0.03314633,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PASS,-122.085197,48.998299,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.270,34.907,0.2,1.061868,2.0,8.0,0.00288493,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PASS,-122.085197,48.998299,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.650,28.999,0.2,1.064351,1.0,7.0,0.00036383,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PHIN,-119.927803,45.895100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.080,58.905,0.2,0.820580,4.0,8.0,0.01327493,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PHIN,-119.927803,45.895100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.010,942.478,0.2,2.038843,2.0,13.0,0.03603917,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
UW.PHIN,-119.927803,45.895100,2016-01-01T00:00:00+0000 - 2017-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.050,376.991,0.2,0.517795,1.0,11.0,0.00274630,10.0,/home/kffeng/DATA_PNW/pnw_2016/STACK_acfs_HH_2016/
