netst,stlo,stla
UO.BEER,-123.847252,44.107738
UO.BUCK,-122.986191,44.197311
UO.CAVE,-123.570709,42.120869
UO.CHIL,-121.753639,42.624561
UO.DBO,-123.244423,43.118721
UO.DFAZ,-122.109299,43.240601
UO.DRAN,-123.348709,43.697159
UO.FHAC,-121.339523,44.338581
UO.JESE,-121.316704,45.242199
UO.LAIR,-123.931396,43.161499
UO.MARQ,-122.668533,45.065918
UO.MINN,-123.264099,45.211498
UO.NATH,-122.411346,43.794102
UO.PINE,-120.940659,43.792110
UO.RAIN,-123.010818,46.082859
UO.ROGE,-123.665398,42.695499
UO.TOOM,-121.234703,43.284901
UO.VERN,-123.247520,45.853100
UO.WLOO,-122.737694,44.523418
UO.WOOD,-122.304604,42.217899
UW.BABR,-123.789238,44.621319
UW.BBO,-122.679703,42.888149
UW.BERY,-122.096001,48.264099
UW.BLOW,-122.186203,44.683701
UW.BST01,-122.391701,47.681702
UW.BST02,-122.304939,47.670132
UW.BST03,-122.361900,47.715389
UW.BST04,-122.294830,47.700890
UW.CCRK,-119.854797,46.558498
UW.DDRF,-119.059502,46.491100
UW.EPH2,-119.611687,47.370659
UW.FISH,-123.559097,45.930599
UW.FMW,-121.671463,46.941914
UW.GBB,-119.628983,46.608688
UW.H2O,-119.424110,46.395550
UW.HOOD,-121.650932,45.322262
UW.IRON,-118.474297,43.358002
UW.IZEE,-119.504204,44.082001
UW.JEDS,-124.049049,43.751572
UW.KENT,-120.635101,45.235699
UW.KREP,-121.459702,45.885201
UW.LCCR,-122.478401,45.205898
UW.LNO,-118.287392,45.871712
UW.LUMI,-122.706299,48.720100
UW.MANO,-120.724693,46.951103
UW.MDW,-119.762154,46.613022
UW.MOX,-120.299339,46.577179
UW.MRBL,-121.484497,48.518299
UW.OT3,-119.234131,46.668861
UW.PHIN,-119.927803,45.895100
UW.PRO,-119.686813,46.212521
UW.RCM,-121.732979,46.835640
UW.SNI2,-119.655151,46.464802
UW.STOR,-121.988800,47.188099
UW.TREE,-120.893402,42.725800
UW.TUCA,-118.145500,46.513901
UW.UGAP1,-120.469429,46.531261
UW.UGP4,-120.446373,46.530231
UW.UMAT,-118.959503,45.290401
UW.WA2,-119.566811,46.755192
UW.WAT2,-120.114433,47.620239
UW.WOLL,-118.920998,47.057301
UW.YACT,-122.419296,45.932499
UW.YPT,-118.963173,46.048351
