netst,stlo,stla
CC.ASBU,-121.368401,43.820560
CC.BRSP,-121.708427,45.401550
CC.CARB,-122.005409,46.988319
CC.CIHL,-121.148621,43.750969
CC.CLBH,-122.143494,42.907745
CC.CLCV,-122.088882,42.976139
CC.CLMS,-122.016258,42.922958
CC.CPCO,-121.233192,43.722012
CC.CRBN,-121.961060,46.988132
CC.CRBU,-121.709793,43.559639
CC.CRST,-121.698517,43.460640
CC.GTWY,-121.916763,46.740162
CC.HIYU,-121.807396,45.435230
CC.HOA,-122.191833,46.241779
CC.HUSB,-121.849358,44.119453
CC.JRO,-122.218262,46.275269
CC.KAUT,-121.857391,46.730263
CC.KWBU,-121.311852,43.752399
CC.LOO,-122.184387,46.223751
CC.LSON,-121.647079,45.359612
CC.MAR,-122.296669,46.285320
CC.NFT,-122.256111,46.270000
CC.NORM,-121.252678,43.738960
CC.OBSR,-121.815331,46.899719
CC.OPCH,-121.571175,46.731319
CC.PALM,-121.705536,45.358574
CC.PANH,-121.642593,46.859032
CC.PARA,-121.742149,46.786442
CC.PR01,-122.037567,46.910110
CC.PR02,-122.048637,46.918304
CC.PR03,-122.032692,46.903435
CC.PR04,-121.988525,46.929749
CC.PR05,-121.948860,46.841724
CC.PRLK,-121.962639,44.209751
CC.REM,-122.185501,46.200199
CC.RUSH,-121.944389,46.903061
CC.SEP,-122.190857,46.199780
CC.SHRK,-121.528770,45.464317
CC.SIFT,-121.953201,46.866871
CC.STD,-122.224213,46.237492
CC.SUG,-122.176262,46.215549
CC.SVIC,-121.253273,43.643082
CC.SWF2,-122.216766,46.178349
CC.SWFL,-122.202026,46.188671
CC.SWNB,-121.355347,43.672741
CC.TCBU,-121.664383,44.240829
CC.TIMB,-121.710358,45.335720
CC.TMBU,-121.144508,43.601891
CC.UNFR,-122.292099,46.272610
CC.VALT,-122.189247,46.214218
CC.VOIT,-121.983398,46.966331
CC.WIFE,-121.817459,44.059662
CC.WIZ,-122.149208,42.934181
CC.YOCR,-121.743538,45.379177
HW.CCRK,-119.854797,46.558498
HW.DDRF,-119.059502,46.491100
HW.PHIN,-119.927803,45.895100
LI.LTH,-119.417679,46.461700
TA.A04A,-122.707001,48.719700
TA.A04D,-122.706299,48.720100
TA.A05A,-122.085197,48.998299
TA.A06A,-121.480400,49.098301
TA.A07A,-120.383698,49.048000
TA.A08A,-119.272499,48.953400
TA.A09A,-118.585098,48.975201
TA.A10A,-117.558601,48.981300
TA.A11A,-116.363098,48.958000
TA.A12A,-115.652603,48.933899
TA.A13A,-114.413498,48.932999
TA.A14A,-113.421799,48.972500
TA.A15A,-112.732697,48.977699
TA.A16A,-111.596802,48.948200
TA.A17A,-110.699402,48.944801
TA.B04A,-123.503998,48.057499
TA.B05A,-122.096001,48.264099
TA.B05D,-122.096001,48.264099
TA.B06A,-121.484497,48.518299
TA.B07A,-120.119698,48.460701
TA.B08A,-119.333199,48.358398
TA.B09A,-118.148804,48.422600
TA.B10A,-117.225197,48.299500
TA.B11A,-116.367401,48.436600
TA.B12A,-115.588898,48.469398
TA.B13A,-114.467598,48.373901
TA.B14A,-113.272903,48.360901
TA.B15A,-112.561897,48.312901
TA.B16A,-111.707298,48.412800
TA.B17A,-110.798798,48.292099
TA.C03A,-124.566200,47.947498
TA.C04A,-122.971802,47.717201
TA.C05A,-121.689499,47.694698
TA.C06A,-120.894402,47.923000
TA.C06D,-120.894302,47.922901
TA.C07A,-120.061302,47.690201
TA.C08A,-119.045403,47.784901
TA.C09A,-118.274101,47.800598
TA.C10A,-117.307701,47.819199
TA.C11A,-116.255699,47.839699
TA.C12A,-115.481102,47.703899
TA.C12B,-115.474998,47.709202
TA.C13A,-114.573502,47.679501
TA.C14A,-113.746803,47.768700
TA.C15A,-112.607201,47.775002
TA.C16A,-111.745796,47.801201
TA.C17A,-110.762604,47.632702
TA.D03A,-123.771400,47.116100
TA.D03D,-123.089401,47.534698
TA.D04A,-122.803497,47.110901
TA.D04D,-122.772301,47.178600
TA.D04E,-122.771500,47.178600
TA.D05A,-121.988800,47.188099
TA.D06A,-120.844498,47.193501
TA.D07A,-119.973198,47.193600
TA.D08A,-118.920998,47.057301
TA.D09A,-118.309196,47.061501
TA.D10A,-117.275902,47.054699
TA.D11A,-116.335297,47.047699
TA.D12A,-115.352501,47.052799
TA.D13A,-114.458702,47.094299
TA.D14A,-113.506203,47.081600
TA.D15A,-112.520401,47.041801
TA.D16A,-111.549202,47.030800
TA.D17A,-110.687302,47.152302
TA.E03A,-123.563202,46.545898
TA.E04A,-122.720398,46.593399
TA.E04D,-122.567299,46.556599
TA.E05A,-121.760803,46.560501
TA.E06A,-120.979103,46.543301
TA.E07A,-119.854797,46.558498
TA.E08A,-119.059502,46.491100
TA.E09A,-118.145500,46.513901
TA.E10A,-117.110199,46.485001
TA.E11A,-116.209198,46.355900
TA.E12A,-115.570503,46.415100
TA.E13A,-114.188004,46.442299
TA.E14A,-113.492599,46.416199
TA.E15A,-112.641197,46.424599
TA.E16A,-111.676399,46.533600
TA.E17A,-110.857597,46.462002
