,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
0,0.5-1.0,LI.LTH,-119.417679,46.4617,0.08,58.905,2,-119.4174,46.4613,266.287
1,0.5-1.0,TA.F03A,-123.559097,45.930599,0.01,471.239,4,-123.5593,45.9313,520.5142
2,0.5-1.0,TA.I05A,-121.267502,44.162601,0.3166666666666666,14.894,3,-121.2674,44.1633,425.754
3,0.5-1.0,XN.A04,-122.916397,59.981098,0.01,471.239,1,-123.0373,49.0012,318.974
4,0.5-1.0,XN.B01,-123.267601,58.898499,0.01,471.239,1,-123.0833,49.0012,324.2436
5,0.5-1.0,XN.B05,-125.766998,58.9305,0.05,94.248,1,-123.0833,49.0012,324.2436
6,0.5-1.0,XN.B12,-131.7444,59.932999,0.11,42.84,1,-124.7213,48.3872,605.8344
7,0.5-1.0,XN.C02,-122.713898,58.0965,0.02,235.619,1,-122.7133,49.0012,426.8878
8,0.5-1.0,XN.C08,-120.743301,56.264599,0.01,471.239,1,-120.7434,48.9992,900.0
9,0.5-1.0,XN.C10,-119.8853,55.462101,0.12,39.27,1,-119.8854,48.9992,742.0
10,0.5-1.0,XN.C12,-118.367401,55.1987,0.14,33.66,1,-118.3675,48.9992,900.0
11,0.5-1.0,UW.ERW,-122.626007,48.453838,0.02,235.619,1,-122.6254,48.4532,738.0
12,0.5-1.0,UW.SP2,-122.249229,47.55629,0.0366666666666666,307.30266666666665,9,-122.2494,47.5572,331.0745
13,0.5-1.0,TA.A04A,-122.707001,48.7197,0.09,52.36,1,-122.7073,48.7192,558.2201
14,0.5-1.0,TA.B04A,-123.503998,48.057499,0.01,471.239,2,-123.5033,48.0572,506.2516
15,0.5-1.0,TA.B05A,-122.096001,48.264099,0.01,471.239,2,-122.0954,48.2632,355.6378
16,0.5-1.0,TA.C05A,-121.689499,47.694698,0.2766666666666666,18.413666666666668,3,-121.6894,47.6952,579.6303
17,0.5-1.0,TA.D05A,-121.9888,47.188099,0.09,52.36,1,-121.9894,47.1872,449.3861
18,0.5-1.0,TA.E03A,-123.563202,46.545898,0.2466666666666666,19.154666666666667,3,-123.5633,46.5453,423.3968
19,0.5-1.0,TA.E05A,-121.760803,46.560501,0.16,29.452,1,-121.7614,46.5613,900.0
20,0.5-1.0,TA.F05A,-121.458801,45.8839,0.24,20.196,2,-121.4594,45.8833,418.5503
21,0.5-1.0,TA.H02A,-123.999702,44.676399,0.18,26.261,2,-123.9993,44.6773,498.6873
22,0.5-1.0,TA.H03A,-123.292297,44.676498,0.3,15.708,1,-123.2913,44.6773,670.0131
