netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path,Q-1,fmid,vs30
CI.ALP,-118.299461,34.68708,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.36,13.09,0.2,6.689853,6.0,13.0,0.00172839,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.07639419404125286,0.75,346.61
CI.ALP,-118.299461,34.68708,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.06,157.08,0.2,0.813273,3.0,23.0,0.00208432,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,1.5,346.61
CI.ALP,-118.299461,34.68708,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.11,171.36,0.2,2.185548,1.0,27.0,0.00088914,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.005835667600373482,3.0,346.61
CI.ARV,-118.830093,35.1269,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,1.216526,6.0,15.0,0.00515529,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,350.1552
CI.ARV,-118.830093,35.1269,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.44,21.42,0.2,0.941798,3.0,9.0,0.00053915,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.046685340802987856,1.5,350.1552
CI.ARV,-118.830093,35.1269,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.67,28.134,0.2,0.621739,1.0,10.0,4.183e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03554418141750196,3.0,350.1552
CI.BBR,-116.920753,34.262299,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.13,36.249,0.2,1.985475,6.0,28.0,0.00052126,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,0.75,355.069
CI.BBR,-116.920753,34.262299,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.07,134.64,0.2,0.265645,3.0,22.0,0.00024648,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.007427213309566251,1.5,355.069
CI.BBR,-116.920753,34.262299,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.17,110.88,0.2,0.918194,1.0,15.0,0.00220143,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.00901875901875902,3.0,355.069
CI.BBS,-116.980583,33.921391,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,0.073118,6.0,13.0,0.00138845,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,341.0904
