fband,netst,stlo,stla,meanb,meanQ,ncount
0.5-1.0,CI.ALP,-118.299461,34.68708,0.36,13.09,1
0.5-1.0,CI.ARV,-118.830093,35.1269,0.07,67.32,1
0.5-1.0,CI.BBR,-116.920753,34.262299,0.13,36.249,1
0.5-1.0,CI.BBS,-116.980583,33.921391,0.01,471.239,1
0.5-1.0,CI.BCW,-119.413132,34.94009,0.11,42.84,1
0.5-1.0,CI.BFS,-117.658531,34.238831,0.21,22.44,1
0.5-1.0,CI.BHP,-118.36171,33.990528,0.18,26.18,1
0.5-1.0,CI.BLC,-118.673119,34.243561,0.13,36.249,1
0.5-1.0,CI.BLY,-114.52375,33.750301,0.01,471.239,1
0.5-1.0,CI.BRE,-117.981163,33.807758,0.09,52.36,1
0.5-1.0,CI.BTP,-118.573982,34.68224,0.32,14.726,1
0.5-1.0,CI.CAR,-119.845833,35.308189,0.09,52.36,1
0.5-1.0,CI.CCA,-118.016487,35.152519,0.09,52.36,1
0.5-1.0,CI.CCC,-117.364532,35.524948,0.04,117.81,1
0.5-1.0,CI.CDM,-119.341438,34.368549,0.07,67.32,1
0.5-1.0,CI.CGO,-117.802948,36.5504,0.08,58.905,1
0.5-1.0,CI.CHI,-119.222443,34.181561,0.07,67.32,1
0.5-1.0,CI.CHK,-118.971184,34.067135,0.09,52.36,1
0.5-1.0,CI.CHL,-117.683685,33.910843,0.01,471.239,1
0.5-1.0,CI.CHR,-119.392693,34.729019,0.01,471.239,1
0.5-1.0,CI.CIA,-118.415024,33.401897,0.03,157.08,1
0.5-1.0,CI.CJM,-117.424477,34.271172,0.17,27.72,1
0.5-1.0,CI.CJV2,-118.144501,34.529781,0.12,39.27,1
0.5-1.0,CI.CKP,-114.890404,33.555069,0.17,27.72,1
0.5-1.0,CI.CLO,-119.008911,34.220379,0.04,117.81,1
0.5-1.0,CI.CLT,-117.316872,34.092838,0.02,235.619,1
0.5-1.0,CI.CPT2,-117.32502,33.341831,0.14,33.66,1
0.5-1.0,CI.CRG,-119.724861,35.242199,0.01,471.239,1
0.5-1.0,CI.CRR,-115.969177,32.886822,0.3,15.708,1
0.5-1.0,CI.CRY,-119.628098,34.778252,0.13,36.249,1
0.5-1.0,CI.CTC,-115.990059,33.655159,0.31,15.201,1
0.5-1.0,CI.CTW,-115.872139,33.67728,0.07,67.32,1
0.5-1.0,CI.CVW,-118.939133,34.922169,0.06,78.54,1
0.5-1.0,CI.CWP,-117.557747,33.557976,0.04,117.81,1
0.5-1.0,CI.CZN,-116.784088,33.91375,0.01,471.239,1
0.5-1.0,CI.DAN,-115.381149,34.637451,0.08,58.905,1
0.5-1.0,CI.DEC,-118.333832,34.253529,0.15,31.416,1
0.5-1.0,CI.DEV,-116.577942,33.93597,0.05,94.248,1
0.5-1.0,CI.DGR,-117.009468,33.650009,0.2,23.562,1
0.5-1.0,CI.DLA,-118.096237,33.848221,0.06,78.54,1
0.5-1.0,CI.DNR,-116.630562,33.566669,0.17,27.72,1
0.5-1.0,CI.DZA,-116.774773,32.606571,0.15,31.416,1
0.5-1.0,CI.EOC,-119.769409,34.450291,0.03,157.08,1
0.5-1.0,CI.ERR,-115.82267,33.116749,0.01,471.239,1
0.5-1.0,CI.FDR,-118.934334,35.64262,0.15,31.416,1
0.5-1.0,CI.FHO,-116.935883,34.093552,0.14,33.66,1
0.5-1.0,CI.FMP,-118.293808,33.712639,0.08,58.905,1
0.5-1.0,CI.FOX2,-118.240463,34.733898,0.01,471.239,1
0.5-1.0,CI.FRK,-115.638351,33.402088,0.07,67.32,1
0.5-1.0,CI.FUR,-116.86322,36.46703,0.1,47.124,1
0.5-1.0,CI.GATR,-120.50235,34.552662,0.02,235.619,1
0.5-1.0,CI.GDF,-118.916763,34.479301,0.16,29.452,1
0.5-1.0,CI.GFS,-120.214355,34.476604,0.3,15.708,1
0.5-1.0,CI.GLA,-114.827057,33.051491,0.25,18.85,1
0.5-1.0,CI.GOR,-117.22921,33.153702,0.29,16.25,1
0.5-1.0,CI.GOU,-118.188339,34.221191,0.07,67.32,1
0.5-1.0,CI.GR2,-118.30024,34.11816,0.09,52.36,1
0.5-1.0,CI.GRA,-117.366211,36.996078,0.23,20.489,1
0.5-1.0,CI.HAR,-117.299088,35.011398,0.17,27.72,1
0.5-1.0,CI.HDH,-118.639992,34.775291,0.09,52.36,1
0.5-1.0,CI.HEC,-116.334999,34.829399,0.07,67.32,1
0.5-1.0,CI.HHL,-119.748581,34.600796,0.08,58.905,1
0.5-1.0,CI.HIW,-115.384232,35.039982,0.13,36.249,1
0.5-1.0,CI.HLL,-118.359673,34.17643,0.19,24.802,1
0.5-1.0,CI.HMT2,-117.001526,33.708115,0.28,16.83,1
0.5-1.0,CI.HOL,-117.84539,34.458309,0.02,235.619,1
0.5-1.0,CI.HRV,-118.804398,34.727112,0.19,24.802,1
0.5-1.0,CI.HYS,-117.569748,34.865318,0.02,235.619,1
0.5-1.0,CI.IDO,-116.221519,33.79678,0.05,94.248,1
0.5-1.0,CI.IPT,-117.284981,34.19701,0.42,11.22,1
0.5-1.0,CI.JEM,-116.597549,33.080978,0.26,18.125,1
0.5-1.0,CI.JNH2,-117.955406,34.44894,0.12,39.27,1
0.5-1.0,CI.JPLS,-118.173683,34.205299,0.13,36.249,1
0.5-1.0,CI.JTH,-116.037849,34.126438,0.07,67.32,1
0.5-1.0,CI.JVA,-116.612663,34.366219,0.2,23.562,1
0.5-1.0,CI.KML,-117.879089,33.597382,0.06,78.54,1
0.5-1.0,CI.KYV,-116.173401,33.925449,0.01,471.239,1
0.5-1.0,CI.LAF,-118.331429,33.868889,0.14,33.66,1
0.5-1.0,CI.LAT,-118.776428,34.044491,0.1,47.124,1
0.5-1.0,CI.LCG,-118.377937,34.000332,0.23,20.489,1
0.5-1.0,CI.LCP,-120.279961,34.735512,0.01,471.239,1
0.5-1.0,CI.LDF,-115.184158,35.130661,0.09,52.36,1
0.5-1.0,CI.LDR,-118.34156,34.990601,0.15,31.416,1
0.5-1.0,CI.LFP,-118.488052,34.30529,0.01,471.239,1
0.5-1.0,CI.LGB,-118.149178,33.9753,0.01,471.239,1
0.5-1.0,CI.LJR,-118.867752,34.807621,0.26,18.125,1
0.5-1.0,CI.LKH,-116.758759,33.235981,0.06,78.54,1
