netst,stlo,stla
CI.ABL,-119.224968,34.848431
CI.ACP,-116.303383,32.954601
CI.ADO,-117.433907,34.550461
CI.AGM,-114.784248,32.844742
CI.ALP,-118.299461,34.687080
CI.ARV,-118.830093,35.126900
CI.AVM,-116.615494,35.065620
CI.BAI,-118.773354,34.776951
CI.BAK,-119.104446,35.344440
CI.BAR,-116.672150,32.680050
CI.BBR,-116.920753,34.262299
CI.BBS,-116.980583,33.921391
CI.BC3,-115.453659,33.655151
CI.BCH,-120.085060,35.185337
CI.BCW,-119.413132,34.940090
CI.BEL,-115.998199,34.000599
CI.BFS,-117.658531,34.238831
CI.BHP,-118.361710,33.990528
CI.BLA2,-116.389931,34.069309
CI.BLC,-118.673119,34.243561
CI.BLY,-114.523750,33.750301
CI.BOM,-115.729630,33.364651
CI.BOR,-116.417160,33.268200
CI.BRE,-117.981163,33.807758
CI.BTP,-118.573982,34.682240
CI.BUE,-120.196793,34.612988
CI.CAR,-119.845833,35.308189
CI.CCA,-118.016487,35.152519
CI.CCC,-117.364532,35.524948
CI.CDD,-114.356171,32.583950
CI.CDM,-119.341438,34.368549
CI.CGO,-117.802948,36.550400
CI.CHF,-118.025848,34.333408
CI.CHI,-119.222443,34.181561
CI.CHK,-118.971184,34.067135
CI.CHL,-117.683685,33.910843
CI.CHN,-117.680443,33.998791
CI.CHR,-119.392693,34.729019
CI.CIA,-118.415024,33.401897
CI.CJM,-117.424477,34.271172
CI.CJV2,-118.144501,34.529781
CI.CKP,-114.890404,33.555069
CI.CLC,-117.597511,35.815739
CI.CLO,-119.008911,34.220379
CI.CLT,-117.316872,34.092838
CI.COA,-115.123390,32.863411
CI.CPO,-116.485138,32.642658
CI.CPT2,-117.325020,33.341831
CI.CRG,-119.724861,35.242199
CI.CRR,-115.969177,32.886822
CI.CRY,-119.628098,34.778252
CI.CSH,-116.595596,33.644199
CI.CTC,-115.990059,33.655159
CI.CTW,-115.872139,33.677280
CI.CVW,-118.939133,34.922169
CI.CWC,-118.080162,36.439880
CI.CWP,-117.557747,33.557976
CI.CYP,-116.627220,32.906113
CI.CZN,-116.784088,33.913750
CI.DAN,-115.381149,34.637451
CI.DAW,-117.592140,36.271481
CI.DEC,-118.333832,34.253529
CI.DEV,-116.577942,33.935970
CI.DGR,-117.009468,33.650009
CI.DJJ,-118.455048,34.106178
CI.DLA,-118.096237,33.848221
CI.DNR,-116.630562,33.566669
CI.DPP,-116.941872,32.998890
CI.DRE,-115.446793,32.805321
CI.DSC,-116.103951,35.142551
CI.DTP,-117.845810,35.267422
CI.DZA,-116.774773,32.606571
CI.EDW2,-117.993881,34.881100
CI.ELS2,-117.426041,33.649071
CI.EML,-116.845657,32.890831
CI.EOC,-119.769409,34.450291
CI.ERR,-115.822670,33.116749
CI.ESI2,-117.325920,33.674931
CI.FDR,-118.934334,35.642620
CI.FHO,-116.935883,34.093552
CI.FIG,-119.988029,34.728321
CI.FMO,-118.920891,34.409286
CI.FMP,-118.293808,33.712639
CI.FOX2,-118.240463,34.733898
CI.FRK,-115.638351,33.402088
CI.FUR,-116.863220,36.467030
CI.GATR,-120.502350,34.552662
CI.GDF,-118.916763,34.479301
CI.GFF,-115.072662,34.923805
CI.GFS,-120.214355,34.476604
CI.GLA,-114.827057,33.051491
CI.GMA,-116.382561,34.291481
CI.GMR,-115.659943,34.784569
CI.GOR,-117.229210,33.153702
CI.GOU,-118.188339,34.221191
CI.GR2,-118.300240,34.118160
CI.GRA,-117.366211,36.996078
CI.GSC,-116.805740,35.301769
CI.HAR,-117.299088,35.011398
CI.HAY,-115.638893,33.707340
CI.HDH,-118.639992,34.775291
CI.HEC,-116.334999,34.829399
CI.HHL,-119.748581,34.600796
CI.HIW,-115.384232,35.039982
CI.HLL,-118.359673,34.176430
CI.HMT2,-117.001526,33.708115
CI.HOL,-117.845390,34.458309
CI.HRV,-118.804398,34.727112
CI.HYS,-117.569748,34.865318
CI.IDO,-116.221519,33.796780
CI.IDY,-116.715363,33.746422
CI.IKP,-116.109482,32.650120
CI.IMP,-115.560707,32.901470
CI.IPT,-117.284981,34.197010
CI.IRM,-115.145126,34.157379
CI.ISA,-118.474030,35.662781
CI.JEM,-116.597549,33.080978
CI.JNH2,-117.955406,34.448940
CI.JPLS,-118.173683,34.205299
CI.JRC2,-117.808853,35.982491
CI.JTH,-116.037849,34.126438
CI.JVA,-116.612663,34.366219
CI.KML,-117.879089,33.597382
CI.KRV1,-118.779053,35.459621
CI.KRV3,-118.433243,35.774269
CI.KYV,-116.173401,33.925449
CI.LAF,-118.331429,33.868889
CI.LAT,-118.776428,34.044491
CI.LCG,-118.377937,34.000332
CI.LCP,-120.279961,34.735512
CI.LDF,-115.184158,35.130661
CI.LDR,-118.341560,34.990601
CI.LFP,-118.488052,34.305290
CI.LGB,-118.149178,33.975300
CI.LJR,-118.867752,34.807621
CI.LKH,-116.758759,33.235981
CI.LLS,-117.943039,33.684471
CI.LMH,-117.391350,33.744179
CI.LMR2,-117.696289,34.934391
CI.LMS,-117.445000,33.817440
CI.LMY,-119.103912,34.733166
CI.LOC,-120.446899,34.690735
CI.LPC,-117.546417,34.314781
CI.LRL,-117.682121,35.479542
CI.LRR2,-118.029984,34.527061
CI.LTP,-118.175682,33.881100
CI.LUC2,-116.964233,34.456379
CI.LUG,-117.366829,34.365601
CI.LUS,-117.163048,33.013748
CI.LVO,-119.883873,34.555798
CI.LVY,-119.156357,34.174080
CI.LYP,-116.754799,32.703331
CI.MAN,-120.080727,34.893700
CI.MCT,-116.040733,34.226452
CI.MGE,-116.368736,33.818409
CI.MLAC,-118.836052,37.630192
CI.MLS,-117.561623,34.004601
CI.MNO,-117.172783,33.947380
CI.MOP,-118.904694,34.280960
CI.MOR,-117.139931,33.503880
CI.MPI,-119.145302,34.812580
CI.MPM,-117.489014,36.057991
CI.MPP,-119.813622,34.888481
CI.MSC,-116.647949,34.038521
CI.MSJ,-116.967888,33.808010
CI.MTA,-117.379272,33.426540
CI.MTG,-116.647270,33.199150
CI.MTP,-115.553200,35.484341
CI.MUR,-117.195427,33.599991
CI.MWC,-118.058319,34.223621
CI.NBS,-116.557983,34.780350
CI.NCH,-119.673950,34.942699
CI.NEE2,-114.618813,34.767590
CI.NEN,-118.500992,34.775391
CI.NJQ,-120.177368,34.534119
CI.NSS2,-115.945862,33.555531
CI.OAT,-118.614418,34.343609
CI.OCP,-116.019310,32.747551
CI.OLI,-117.923721,33.945389
CI.OLP,-116.930191,32.607712
CI.OSI,-118.723503,34.614498
CI.PALA,-117.031822,33.389050
CI.PDE,-118.582153,34.441990
CI.PDM,-114.141518,34.303360
CI.PDR,-118.437019,33.962730
CI.PDU,-117.638077,34.120701
CI.PEM,-117.870087,34.166889
CI.PER,-117.205292,33.861641
CI.PGA,-117.063499,33.491402
CI.PHL,-120.545563,35.407730
CI.PLM,-116.862648,33.353611
CI.PLR,-115.977745,33.173489
CI.PLS,-117.609062,33.795300
CI.PMD,-116.377693,33.647850
CI.POB2,-116.923820,33.687080
CI.POP,-118.394028,34.728497
CI.POR,-119.003433,36.103680
CI.PSD,-116.550262,33.823929
CI.PSR,-117.807091,34.091808
CI.PTD,-118.806862,34.004429
CI.PUT,-117.969193,34.691151
CI.PZA,-120.252403,35.355801
CI.QAD,-119.609261,34.423672
CI.QLC,-119.974251,35.040840
CI.RAG,-116.151390,34.682892
CI.RCR,-116.309601,33.362370
CI.RFR,-120.097206,35.113583
CI.RHC2,-118.013329,34.000950
CI.RHR,-117.176483,33.290215
CI.RIN,-118.479248,34.281960
CI.RIO,-117.979561,34.104729
CI.RKMO,-117.609467,33.674210
CI.RPV,-118.404121,33.743462
CI.RRC,-117.989861,35.372879
CI.RRX,-116.996811,34.874989
CI.RSI,-120.208679,34.851910
CI.RSS,-117.326736,33.973270
CI.RUN,-114.978088,32.972221
CI.RUS,-118.080780,34.050751
CI.RVR,-117.375450,33.993511
CI.RXH,-115.622566,33.183128
CI.RYS,-119.352242,34.643410
CI.SAL,-115.985847,33.280102
CI.SBB2,-117.824242,34.688438
CI.SBC,-119.714920,34.440762
CI.SBI,-119.029861,33.480461
CI.SBPX,-117.234840,34.232399
CI.SCI2,-118.546967,32.979900
CI.SDD,-117.661713,33.552589
CI.SDG,-117.138046,32.784000
CI.SDR,-116.942413,32.735611
CI.SES,-119.137497,34.436920
CI.SGL,-115.726379,32.649330
CI.SHO,-116.275299,35.899529
CI.SHR,-118.845047,36.491131
CI.SHU,-118.164543,34.642792
CI.SLA,-117.283318,35.890949
CI.SLB,-115.866432,33.485191
CI.SLH,-116.253990,33.192692
CI.SLM,-118.422668,34.452271
CI.SLR,-116.797371,33.833591
CI.SLV,-115.304359,33.238541
CI.SMF2,-118.446274,34.022011
CI.SMI,-120.351318,34.038181
CI.SMM,-119.995811,35.314201
CI.SMR,-120.612473,35.376991
CI.SMW,-120.409973,35.011082
CI.SNO,-116.807777,34.035149
CI.SNR,-115.435959,32.861889
CI.SOC,-117.580132,33.387611
CI.SOL2,-118.289001,34.436001
CI.SPF,-118.646141,34.059330
CI.SPG2,-118.766243,36.200569
CI.SQC,-120.294395,34.866470
CI.SRA,-115.949867,34.606010
CI.SRI,-120.078857,33.978748
CI.SRN,-117.789383,33.828541
CI.SRT,-117.750511,35.692348
CI.SS3,-117.499664,34.207722
CI.SSS,-117.454979,34.031029
CI.STC,-119.186760,34.303020
CI.STG,-117.768562,33.664001
CI.STS,-118.198776,33.790329
CI.SUN,-117.693939,34.210480
CI.SVD,-117.098221,34.106468
CI.SWP,-116.097183,32.791840
CI.SWS,-115.799881,32.945080
CI.SYN,-120.069603,34.607231
CI.SYP,-119.978340,34.527748
CI.TA2,-117.678223,34.382030
CI.TEH,-118.420792,35.291302
CI.TEJ,-118.688782,35.231071
CI.TER2,-119.362381,35.332329
CI.TFT,-119.419456,35.145920
CI.THM,-116.077339,33.650661
CI.TIN,-118.230087,37.054218
CI.TJR,-118.743729,35.027222
CI.TOR,-116.225838,33.575260
CI.TOW2,-117.764877,35.808559
CI.TPO,-118.228638,34.878830
CI.TUQ,-115.923889,35.435841
CI.USC,-118.286308,34.019192
CI.VCS,-118.117813,34.483719
CI.VDJ,-114.571449,34.189861
CI.VES,-119.084686,35.840889
CI.VLY,-117.156525,33.736134
CI.VOG,-119.382263,36.320980
CI.VTV,-117.329597,34.560650
CI.WAS2,-118.557426,35.737701
CI.WBM,-117.890488,35.608391
CI.WBP,-118.074142,35.878410
