netst,stlo,stla,geometry,index_right,STATE,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_NAME,AGE_MIN,AGE_MAX,MAJOR1,MAJOR2,MAJOR3,MINOR1,MINOR2,MINOR3,MINOR4,MINOR5,INCIDENTAL,INDETERMIN,REF_ID,REFERENCE,GENERALIZE,DIGITAL_UR,NGMDB1,NGMDB2,NGMDB3,RuleID,FIPS_C
CC.ASBU,-121.368401,43.82056,POINT (-121.368401 43.82056),9310.0,OR,Qyb,Qyb;0,ORQyb;0,Youngest basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Holocene,Basaltic-andesite,,,Basalt,,,,,Rhyolite,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.BRSP,-121.708427,45.40155,POINT (-121.708427 45.40155),5175.0,OR,Qa,Qa;0,ORQa;0,Andesite,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Andesite,,,,,,,"Dacite, Basalt",,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CARB,-122.005409,46.988319,POINT (-122.005409 46.988319),310.0,WA,E2,EO2;0,WAEO2;0,Lower upper Eocene marine and nonmarine rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Late-Eocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Middle-Eocene,Siltstone,Sandstone,,,,,,,"Conglomerate, Basalt, Claystone, Shale, Coal, Mixed-clastic",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Sedimentary, clastic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,23.0,53
CC.CIHL,-121.148621,43.750969,POINT (-121.148621 43.750969),5796.0,OR,Qb,Qb;0,ORQb;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Basalt,Basaltic-andesite,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CLBH,-122.143494,42.907745,POINT (-122.143494 42.907745),5168.0,OR,Qa,Qa;0,ORQa;0,Andesite,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Andesite,,,,,,,"Dacite, Basalt",,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CLCV,-122.088882,42.976139,POINT (-122.088882 42.976139),5168.0,OR,Qa,Qa;0,ORQa;0,Andesite,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Andesite,,,,,,,"Dacite, Basalt",,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CLMS,-122.016258,42.922958,POINT (-122.016258 42.922958),8865.0,OR,QTba,QTba;0,ORQTba;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene - Calabrian,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene - Zanclean,Basaltic-andesite,Basalt,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CPCO,-121.233192,43.722012,POINT (-121.233192 43.722012),9303.0,OR,QTvs,QTvs;0,ORQTvs;0,Silicic vent deposits,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene,Rhyolite,Dacite,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.CRBN,-121.96106,46.988132,POINT (-121.96106 46.988132),253.0,WA,E1,EO1;0,WAEO1;0,Upper upper Eocene nonmarine and marine rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Middle-Eocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Early-Eocene,Sandstone,,,Siltstone,,,,,"Lignite, Conglomerate, Shale, Mixed-clastic, Mafic-volcanic",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Sedimentary, clastic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,23.0,53
CC.CRBU,-121.709793,43.559639,POINT (-121.709793 43.559639),12158.0,OR,QTmv,QTmv;0,ORQTmv;0,Mafic vent complexes,Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene,Basaltic-andesite,Basalt,Andesite,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
