,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
0,0.5-1.0,CI.ALP,-118.299461,34.68708,0.36,13.09,1,-118.2995,34.6876,346.61
1,0.5-1.0,CI.ARV,-118.830093,35.1269,0.07,67.32,1,-118.8294,35.1276,350.1552
2,0.5-1.0,CI.BBR,-116.920753,34.262299,0.13,36.249,1,-116.9215,34.2616,355.069
3,0.5-1.0,CI.BBS,-116.980583,33.921391,0.01,471.239,1,-116.9815,33.9216,341.0904
4,0.5-1.0,CI.BCW,-119.413132,34.94009,0.11,42.84,1,-119.4134,34.9396,359.1823
5,0.5-1.0,CI.BFS,-117.658531,34.238831,0.21,22.44,1,-117.6595,34.2396,900.0
6,0.5-1.0,CI.BHP,-118.36171,33.990528,0.18,26.18,1,-118.3615,33.9896,308.8676
7,0.5-1.0,CI.BLC,-118.673119,34.243561,0.13,36.249,1,-118.6735,34.2436,546.5072
8,0.5-1.0,CI.BLY,-114.52375,33.750301,0.01,471.239,1,-114.5236,33.7496,506.3247
9,0.5-1.0,CI.BRE,-117.981163,33.807758,0.09,52.36,1,-117.9815,33.8076,231.8967
10,0.5-1.0,CI.BTP,-118.573982,34.68224,0.32,14.726,1,-118.5735,34.6816,589.0
11,0.5-1.0,CI.CAR,-119.845833,35.308189,0.09,52.36,1,-119.8454,35.3076,333.844
12,0.5-1.0,CI.CCA,-118.016487,35.152519,0.09,52.36,1,-118.0155,35.1516,504.993
13,0.5-1.0,CI.CCC,-117.364532,35.524948,0.04,117.81,1,-117.3655,35.5255,430.8667
14,0.5-1.0,CI.CDM,-119.341438,34.368549,0.07,67.32,1,-119.3414,34.3676,479.1832
15,0.5-1.0,CI.CGO,-117.802948,36.5504,0.08,58.905,1,-117.8035,35.9995,568.413
16,0.5-1.0,CI.CHI,-119.222443,34.181561,0.07,67.32,1,-119.2234,34.1816,257.1536
17,0.5-1.0,CI.CHK,-118.971184,34.067135,0.09,52.36,1,-118.9714,34.0676,756.0
18,0.5-1.0,CI.CHL,-117.683685,33.910843,0.01,471.239,1,-117.6835,33.9116,485.7091
19,0.5-1.0,CI.CHR,-119.392693,34.729019,0.01,471.239,1,-119.3934,34.7296,370.2325
20,0.5-1.0,CI.CIA,-118.415024,33.401897,0.03,157.08,1,-118.4155,33.4016,505.574
21,0.5-1.0,CI.CJM,-117.424477,34.271172,0.17,27.72,1,-117.4235,34.2716,723.0
22,0.5-1.0,CI.CJV2,-118.144501,34.529781,0.12,39.27,1,-118.1455,34.5296,693.0
23,0.5-1.0,CI.CKP,-114.890404,33.555069,0.17,27.72,1,-114.8896,33.5556,369.2024
24,0.5-1.0,CI.CLO,-119.008911,34.220379,0.04,117.81,1,-119.0094,34.2196,299.9851
25,0.5-1.0,CI.CLT,-117.316872,34.092838,0.02,235.619,1,-117.3175,34.0936,268.8243
26,0.5-1.0,CI.CPT2,-117.32502,33.341831,0.14,33.66,1,-117.3255,33.3416,485.7788
27,0.5-1.0,CI.CRG,-119.724861,35.242199,0.01,471.239,1,-119.7254,35.2416,611.531
